x,y,u,v,p
0.0005,0.0,0.0,0.0,-0.00062041
0.00050036,0.0,2.5427e-10,1.285e-07,-0.0006204
0.00050076,0.0,3.6865e-10,1.8597e-07,-0.00062037
0.0005012,0.0,7.0448e-10,2.3055e-07,-0.00062035
0.0005017,0.0,1.129e-09,2.8577e-07,-0.00062032
0.00050225,0.0,1.6883e-09,3.5417e-07,-0.00062029
0.00050286,0.0,2.4543e-09,4.3887e-07,-0.00062026
0.00050355,0.0,3.5011e-09,5.4373e-07,-0.00062021
0.00050431,0.0,4.9278e-09,6.7349e-07,-0.00062016
0.00050516,0.0,6.8702e-09,8.3403e-07,-0.0006201
0.00050611,0.0,9.5116e-09,1.0325e-06,-0.00062003
0.00050716,0.0,1.3098e-08,1.2779e-06,-0.00061995
0.00050834,0.0,1.7956e-08,1.581e-06,-0.00061985
0.00050965,0.0,2.452e-08,1.9551e-06,-0.00061974
0.00051111,0.0,3.3359e-08,2.4166e-06,-0.0006196
0.00051273,0.0,4.5215e-08,2.9854e-06,-0.00061945
0.00051454,0.0,6.1039e-08,3.6857e-06,-0.00061926
0.00051655,0.0,8.2031e-08,4.5468e-06,-0.00061905
0.0005188,0.0,1.0968e-07,5.6043e-06,-0.0006188
0.0005213,0.0,1.4578e-07,6.9007e-06,-0.00061852
0.00052409,0.0,1.9242e-07,8.4871e-06,-0.00061821
0.00052719,0.0,2.5195e-07,1.0424e-05,-0.00061786
0.00053065,0.0,3.2682e-07,1.2783e-05,-0.00061748
0.0005345,0.0,4.1938e-07,1.5647e-05,-0.00061708
0.00053879,0.0,5.3154e-07,1.9113e-05,-0.00061666
0.00054357,0.0,6.643e-07,2.329e-05,-0.00061625
0.00054889,0.0,8.1732e-07,2.83e-05,-0.00061585
0.00055483,0.0,9.8848e-07,3.428e-05,-0.0006155
0.00056143,0.0,1.1736e-06,4.1373e-05,-0.0006152
0.00056879,0.0,1.3661e-06,4.9734e-05,-0.00061498
0.00057699,0.0,1.5573e-06,5.9515e-05,-0.00061486
0.00058613,0.0,1.7368e-06,7.0869e-05,-0.00061483
0.0005963,0.0,1.8934e-06,8.3936e-05,-0.0006149
0.00060763,0.0,2.0149e-06,9.8839e-05,-0.00061506
0.00062026,0.0,2.093e-06,0.00011568,-0.0006153
0.00063433,0.0,2.1196e-06,0.00013452,-0.00061558
0.00064999,0.0,2.0824e-06,0.00015542,-0.00061589
0.00066745,0.0,1.9752e-06,0.00017838,-0.00061623
0.00068689,0.0,1.7938e-06,0.00020342,-0.00061659
0.00070855,0.0,1.5297e-06,0.00023052,-0.00061696
0.00073268,0.0,1.1744e-06,0.00025969,-0.00061736
0.00075955,0.0,7.1746e-07,0.00029094,-0.00061778
0.00078949,0.0,1.4478e-07,0.00032434,-0.00061826
0.00082285,0.0,-5.6253e-07,0.00035999,-0.0006188
0.00086,0.0,-1.4297e-06,0.00039806,-0.00061942
0.00090139,0.0,-2.4905e-06,0.00043879,-0.00062015
0.0009475,0.0,-3.7886e-06,0.00048247,-0.00062101
0.00099886,0.0,-5.3803e-06,0.0005295,-0.00062202
0.0010561,0.0,-7.3291e-06,0.00058033,-0.00062319
0.0011198,0.0,-9.6954e-06,0.00063543,-0.00062449
0.0011908,0.0,-1.2518e-05,0.0006953,-0.00062583
0.0012699,0.0,-1.5762e-05,0.00076037,-0.00062705
0.001358,0.0,-1.9266e-05,0.00083089,-0.00062787
0.0014562,0.0,-2.2664e-05,0.00090695,-0.00062793
0.0015655,0.0,-2.5324e-05,0.00098836,-0.00062675
0.0016873,0.0,-2.6343e-05,0.0010746,-0.00062382
0.001823,0.0,-2.4457e-05,0.0011645,-0.00061854
0.0019741,0.0,-1.8255e-05,0.001257,-0.00061044
0.0021425,0.0,-6.0008e-06,0.0013506,-0.0005992
0.00233,0.0,1.3901e-05,0.001444,-0.00058478
0.002539,0.0,4.3774e-05,0.0015355,-0.00056711
0.0027717,0.0,8.4362e-05,0.0016241,-0.00054657
0.003031,0.0,0.000139,0.0017075,-0.00052318
0.0033198,0.0,0.0002074,0.0017851,-0.00049741
0.0036416,0.0,0.00029115,0.0018486,-0.00046874
0.004,0.0,0.00038175,0.0018832,-0.00044034
0.00049982,1.3594e-05,0.0,0.0,-0.00060782
0.00050017,1.3604e-05,-6.9652e-12,6.3476e-08,-0.00060782
0.00050057,1.3615e-05,4.4664e-12,9.1865e-08,-0.00060783
0.00050102,1.3627e-05,-2.3072e-11,1.1389e-07,-0.00060783
0.00050151,1.3641e-05,-9.0656e-11,1.4117e-07,-0.00060784
0.00050206,1.3656e-05,-1.7493e-10,1.7497e-07,-0.00060784
0.00050268,1.3672e-05,-2.8856e-10,2.1683e-07,-0.00060785
0.00050336,1.3691e-05,-4.4925e-10,2.6865e-07,-0.00060785
0.00050413,1.3712e-05,-6.7586e-10,3.328e-07,-0.00060786
0.00050498,1.3735e-05,-9.9317e-10,4.1216e-07,-0.00060788
0.00050592,1.376e-05,-1.4355e-09,5.1032e-07,-0.0006079
0.00050698,1.3789e-05,-2.0494e-09,6.3166e-07,-0.00060793
0.00050815,1.3821e-05,-2.8976e-09,7.8158e-07,-0.00060796
0.00050946,1.3857e-05,-4.0637e-09,9.667e-07,-0.000608
0.00051092,1.3896e-05,-5.6578e-09,1.1951e-06,-0.00060806
0.00051254,1.3941e-05,-7.823e-09,1.4767e-06,-0.00060813
0.00051435,1.399e-05,-1.0742e-08,1.8236e-06,-0.00060821
0.00051636,1.4044e-05,-1.4644e-08,2.2503e-06,-0.00060832
0.00051861,1.4106e-05,-1.9807e-08,2.7745e-06,-0.00060845
0.00052111,1.4174e-05,-2.6555e-08,3.4176e-06,-0.00060861
0.00052389,1.4249e-05,-3.5251e-08,4.2051e-06,-0.0006088
0.000527,1.4334e-05,-4.6269e-08,5.1672e-06,-0.00060902
0.00053045,1.4428e-05,-5.9954e-08,6.3399e-06,-0.00060928
0.0005343,1.4532e-05,-7.6561e-08,7.7649e-06,-0.00060958
0.00053859,1.4649e-05,-9.6221e-08,9.4908e-06,-0.00060992
0.00054337,1.4779e-05,-1.1884e-07,1.1573e-05,-0.00061031
0.00054869,1.4924e-05,-1.4394e-07,1.4073e-05,-0.00061073
0.00055462,1.5085e-05,-1.7107e-07,1.7059e-05,-0.00061118
0.00056123,1.5265e-05,-2.0002e-07,2.0606e-05,-0.00061166
0.00056858,1.5465e-05,-2.3033e-07,2.4788e-05,-0.00061216
0.00057678,1.5688e-05,-2.6169e-07,2.9685e-05,-0.00061269
0.00058591,1.5936e-05,-2.946e-07,3.5371e-05,-0.00061323
0.00059608,1.6213e-05,-3.3078e-07,4.1918e-05,-0.00061378
0.00060741,1.6521e-05,-3.7385e-07,4.9387e-05,-0.00061433
0.00062003,1.6864e-05,-4.2752e-07,5.7827e-05,-0.00061487
0.00063409,1.7247e-05,-4.976e-07,6.7272e-05,-0.00061539
0.00064975,1.7673e-05,-5.9465e-07,7.7746e-05,-0.00061588
0.0006672,1.8147e-05,-7.2814e-07,8.9257e-05,-0.00061635
0.00068664,1.8676e-05,-9.085e-07,0.00010181,-0.0006168
0.00070829,1.9265e-05,-1.1503e-06,0.00011539,-0.00061724
0.00073241,1.9921e-05,-1.4692e-06,0.00013001,-0.00061769
0.00075927,2.0651e-05,-1.8833e-06,0.00014567,-0.00061816
0.0007892,2.1465e-05,-2.4141e-06,0.00016241,-0.00061866
0.00082254,2.2372e-05,-3.0871e-06,0.00018029,-0.00061924
0.00085968,2.3382e-05,-3.9345e-06,0.00019938,-0.00061989
0.00090106,2.4508e-05,-4.9987e-06,0.00021981,-0.00062065
0.00094715,2.5761e-05,-6.3325e-06,0.00024173,-0.00062155
0.00099849,2.7158e-05,-7.9989e-06,0.00026534,-0.0006226
0.0010557,2.8713e-05,-1.0064e-05,0.00029085,-0.00062381
0.0011194,3.0446e-05,-1.2584e-05,0.0003185,-0.00062515
0.0011904,3.2377e-05,-1.557e-05,0.00034852,-0.00062651
0.0012694,3.4527e-05,-1.8941e-05,0.0003811,-0.00062773
0.0013575,3.6923e-05,-2.2474e-05,0.00041632,-0.00062849
0.0014556,3.9591e-05,-2.5737e-05,0.00045419,-0.00062841
0.0015649,4.2564e-05,-2.8011e-05,0.00049455,-0.00062702
0.0016867,4.5876e-05,-2.8271e-05,0.00053707,-0.00062379
0.0018223,4.9564e-05,-2.5175e-05,0.00058121,-0.00061812
0.0019734,5.3674e-05,-1.7291e-05,0.00062631,-0.00060956
0.0021417,5.8252e-05,-2.8943e-06,0.00067169,-0.00059782
0.0023292,6.3351e-05,1.9616e-05,0.00071669,-0.00058288
0.002538,6.9032e-05,5.2406e-05,0.00076042,-0.00056467
0.0027707,7.536e-05,9.6191e-05,0.00080254,-0.00054363
0.0030299,8.2409e-05,0.00015401,0.00084171,-0.00051975
0.0033186,9.0262e-05,0.00022492,0.00087817,-0.00049367
0.0036402,9.901e-05,0.00031236,0.00090716,-0.00046466
0.0039985,0.00010876,0.00040793,0.00092204,-0.00043585
0.00049925,2.7422e-05,0.0,0.0,-0.00060044
0.00049961,2.7442e-05,-1.9079e-10,9.8911e-11,-0.00060046
0.0005,2.7464e-05,-2.4356e-10,1.4429e-10,-0.00060049
0.00050045,2.7488e-05,-4.3745e-10,1.7912e-10,-0.00060051
0.00050094,2.7515e-05,-7.1343e-10,2.2635e-10,-0.00060053
0.00050149,2.7546e-05,-1.0695e-09,2.8724e-10,-0.00060056
0.00050211,2.7579e-05,-1.5509e-09,3.6436e-10,-0.0006006
0.00050279,2.7617e-05,-2.2084e-09,4.6204e-10,-0.00060064
0.00050355,2.7659e-05,-3.1051e-09,5.8569e-10,-0.00060069
0.0005044,2.7705e-05,-4.3264e-09,7.4184e-10,-0.00060075
0.00050535,2.7757e-05,-5.988e-09,9.3835e-10,-0.00060083
0.0005064,2.7815e-05,-8.2457e-09,1.1845e-09,-0.00060091
0.00050757,2.788e-05,-1.1308e-08,1.491e-09,-0.00060102
0.00050888,2.7951e-05,-1.5453e-08,1.8698e-09,-0.00060115
0.00051034,2.8031e-05,-2.1048e-08,2.3335e-09,-0.0006013
0.00051196,2.812e-05,-2.8574e-08,2.8942e-09,-0.00060148
0.00051376,2.822e-05,-3.8657e-08,3.5621e-09,-0.00060169
0.00051578,2.833e-05,-5.21e-08,4.343e-09,-0.00060195
0.00051802,2.8453e-05,-6.9913e-08,5.235e-09,-0.00060225
0.00052052,2.859e-05,-9.3351e-08,6.2249e-09,-0.0006026
0.0005233,2.8743e-05,-1.2393e-07,7.2848e-09,-0.00060302
0.0005264,2.8913e-05,-1.6342e-07,8.3702e-09,-0.0006035
0.00052985,2.9103e-05,-2.1382e-07,9.4231e-09,-0.00060405
0.0005337,2.9314e-05,-2.7721e-07,1.039e-08,-0.00060468
0.00053798,2.955e-05,-3.5588e-07,1.1275e-08,-0.00060538
0.00054275,2.9812e-05,-4.5181e-07,1.2203e-08,-0.00060616
0.00054807,3.0104e-05,-5.6588e-07,1.3443e-08,-0.00060702
0.00055399,3.0429e-05,-6.9853e-07,1.542e-08,-0.00060794
0.00056059,3.0791e-05,-8.4939e-07,1.8664e-08,-0.0006089
0.00056794,3.1195e-05,-1.0162e-06,2.3739e-08,-0.00060989
0.00057612,3.1645e-05,-1.1959e-06,3.1448e-08,-0.00061089
0.00058524,3.2146e-05,-1.3846e-06,4.3046e-08,-0.00061188
0.0005954,3.2704e-05,-1.5777e-06,5.9805e-08,-0.00061285
0.00060672,3.3325e-05,-1.7719e-06,8.2562e-08,-0.00061378
0.00061933,3.4018e-05,-1.9654e-06,1.1229e-07,-0.00061466
0.00063337,3.4789e-05,-2.1593e-06,1.5056e-07,-0.00061547
0.00064902,3.5648e-05,-2.3578e-06,1.9847e-07,-0.00061623
